ts,100100024_pressure,100100024_flow,100100020_pressure,100100020_flow,100100017_pressure,100100017_flow,79_pressure,79_flow,12167_pressure,12167_flow,100004_pressure,100004_flow,1002196_pressure,1002196_flow,100100028_pressure,100100028_flow,100100006_pressure,100100019_pressure,100100019_flow,100100005_pressure,100100005_flow,100100008_pressure,100100008_flow,100100014_pressure,100100014_flow,11142_pressure,11142_flow,12166_pressure,12166_flow,10012167_flow
2022-08-26 19:00:00,1656.25,34293.88,1.1692528,431.578,1348.004,23691.0,1662.22,12476.182,705.59996,6537.21,712.8809,0.0,723.4651,1473.8906,1020.0624,0.0,1032.8957,942.7083,11513.11,1025.6793,1.083313,1.8518519,1089.0312,1085.9029,327.1183,757.981,12099.5,741.42754,9326.396,0.0
2022-08-26 20:00:00,1656.25,32088.0,1.2500905,431.578,1362.3259,17050.0,1662.22,12476.182,728.32,4548.336,729.3833,0.0,736.9925,1353.7656,1111.6874,0.0,1116.2652,1027.7778,11163.812,1107.0268,2.6749878,1.7361112,1231.9688,1171.8962,335.37628,787.70995,9665.0,745.66,6559.4033,0.0
2022-08-26 21:00:00,1649.3056,29545.908,1.3302952,431.578,1438.059,18951.0,1662.22,12476.182,733.76,4001.9722,736.6172,0.0,740.8265,1248.0312,1197.3124,0.0,1204.1558,1119.7917,11006.13,1197.3586,0.0,1.7361112,1078.125,1254.0917,348.53162,908.79595,8497.0,742.7838,5579.34,0.0
2022-08-26 22:00:00,1644.0972,26148.54,284.9197,431.578,1522.906,17080.0,1662.22,12476.182,735.83996,3201.336,739.669,0.0,739.45206,1008.1406,1327.5623,0.0,1324.9601,1248.2638,10497.018,1320.6005,0.0,1.7361112,992.0469,1371.2813,471.84174,921.816,4537.25,747.70373,4847.326,0.0
2022-08-26 23:00:00,1656.25,2768.7886,1.4494718,431.578,1550.465,18671.0,1662.22,12476.182,738.72,2669.5615,740.5733,0.0,742.852,1006.9531,1270.9374,0.0,1271.611,1201.3888,10552.024,1271.1866,0.0,1.6203703,639.8125,1347.6806,486.96606,960.65897,7120.75,744.265,3834.8086,0.0
2022-08-27 00:00:00,1652.7777,2706.5098,1.4499241,431.578,1515.962,14469.0,1662.22,12476.182,741.27996,2400.876,742.8339,0.0,742.852,1006.9531,1251.2498,0.0,1254.7019,1177.0833,11305.228,1251.2647,0.0,1.6782407,613.9219,1345.5105,414.21875,824.166,0.0,743.8388,3055.7085,0.0
2022-08-27 01:00:00,1652.7777,2655.1887,1.3902452,431.578,1450.2109,13080.0,1662.22,12476.182,737.28,2273.5996,739.2169,0.0,742.852,1006.9531,1207.6876,0.0,1209.9428,1131.9444,11408.771,1206.3429,0.0,1.6782407,1222.0938,1289.0859,2399.5122,671.83197,0.0,745.87876,4337.366,0.0
2022-08-27 02:00:00,1652.7777,2630.2231,1.3697194,431.578,1431.1149,13211.0,1662.22,12476.182,745.75996,1742.4294,749.2766,0.0,742.852,1006.9531,1185.0,0.0,1185.1671,1102.4306,11447.523,1180.3665,0.0,1.7939815,614.0781,1266.0277,2054.106,536.641,0.0,749.25125,2650.107,0.0
2022-08-27 03:00:00,1652.7777,2615.2837,1.3507307,431.578,1412.019,12889.0,1662.22,12476.182,741.75996,1746.4741,743.6251,0.0,742.852,1006.9531,1167.875,0.0,1166.4497,1085.0694,11665.451,1161.7142,0.0,1.8518519,1125.6562,1245.4109,2053.5776,560.294,0.0,743.23875,2908.4536,0.0
2022-08-27 04:00:00,1652.7777,2628.3123,1.3396086,431.578,1410.4999,12887.0,1662.22,12476.182,738.72,1747.5435,740.4603,0.0,742.852,1006.9531,1142.9374,1355.7605,1141.7643,1059.0278,11559.355,1137.4955,0.0,1.7361112,916.9844,1229.9484,2187.146,677.257,0.0,745.65125,3463.516,0.0
